ERROR 2024/08/26 01:50:32 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:51:03 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:51:34 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:52:04 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:52:35 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:53:06 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:53:36 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:54:07 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:54:38 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:55:08 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 01:55:39 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:43:37 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:44:07 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:44:38 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:45:09 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:45:39 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:46:10 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:46:40 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
